id;name;photo;born_mo;born_da;born_ye;born_bc;bornPlace;nationality;ethnicity;religion;education;career;titles;awards;died_mo;died_da;died_ye;died_bc;diedPlace;politicalParty;dob;aged;nationality;intro;activity
2292809;Janos Teleszky;https://prabook.com/web/*/2292809;September;15;1868;;;Hungarian;;;;;;;June;13;1939;;;;September 15, 1868;70;Hungarian;J?nos Teleszky was a Hungarian politician, who served as Minister of Finance between 1912 and 1917. After the First World War he served as chairman of the National Financial Council. The creating of the superannuation act and formation of the ...;politician,economist
2292942;Jerome-Adolphe Chicoyne;https://prabook.com/web/*/2292942;August;22;1844;;Saint-Pie, Canada East;Canada;;;;;;;September;30;1910;;Saint-Hyacinthe;Conservative Party;August 22, 1844;66;Canada;J?r?me-Adolphe Chicoyne was a lawyer, journalist and political figure in Quebec. He represented Wolfe in the Legislative Assembly of Quebec from 1892 to 1904 as a Conservative. He was admitted to the Quebec bar in 1868 and set up practice in ...;politician,journalist
2293123;Jozef Lipski;https://prabook.com/web/*/2293123;June;5;1894;;Wroclaw, Lower Silesian Voivodeship, Poland;Poland;;;;;;;November;1;1958;;;;June 5, 1894;64;Poland;J?zef Lipski was a Polish diplomat and Ambassador to Nazi Germany from 1934 to 1939. Lipski played a key role in the foreign policy of the Second Polish Republic. Lipski trained as a lawyer, and joined the Polish Ministry of Foreign Affairs in 1925.;politician,diplomat
2293675;Jorgen Niclasen;https://prabook.com/web/*/2293675;January;17;1969;;S?rv?gur, S?rv?gs Municipality, Faroe Islands;Faroe Islands;;;;;;;;;;;;People's Party;January 17, 1969;;Faroe Islands;J?rgen Niclasen is a Faroese politician. He has been the leader of the Faroese People's Party (F?lkaflokkurin) since 2007. On 2 October 2008, he was officially appointed Kaj Leo Johannesen's Deputy Prime Minister, which he was until the Faroese ...;politician,finance minister
2294023;Jurgen Gansel;https://prabook.com/web/*/2294023;July;6;1974;;;Germany;;;;;;;;;;;;Christian Democratic Party;July 6, 1974;;Germany;J?rgen West. Gansel, is a German politician. He is a representative of the National Democratic Party, a pan-German nationalist party in Germany.;politician,historian
2294047;Juri Luik;https://prabook.com/web/*/2294047;August;17;1966;;Tallinn, Estonia;Estonia;;;;;;Order of the National Coat of Arms, 3rd Class;;;;;;;August 17, 1966;;Estonia;J?ri Luik is an Estonian diplomat and former politician. J?ri Luik has held the positions of Estonian Minister of Foreign Affairs, Estonian Minister of Defense and the permanent representative for Estonia in NATO. Currently he is the Estonian ...;politician,diplomat
2294096;Janis Klauzs;https://prabook.com/web/*/2294096;;;1954;;;Latvia;;;"""Latvia University of Agriculture""";;;;;;;;;Union of Greens and Farmers;1954;;Latvia;J?nis Klau?s is a Latvian politician. Latvia University of Agriculture.;politician,deputy of saeima
2294113;Ivan Pommers;https://prabook.com/web/*/2294113;January;18;1876;;Livonia Governorate, Russian Empire;Latvia;;Orthodox;;;;;October;12;1934;;;;January 18, 1876;58;Latvia;J?nis Pommers was the first Latvian Archbishop of the Latvian Orthodox Church, serving from 1921 to his assassination in 1934. He proved significant to the Church and gained its recognition in 1926. He was elected to the Saeima in the 1925 elections ...;politician,deputy of saeima
2294925;Kakichi Kawarada;https://prabook.com/web/*/2294925;;;1886;;Tokyo Prefecture, Kant? region, Japan;Japan;;;"""University of Tokyo""";;;;January;2;1955;;;The Liberal Party;January 13, 1886;68;Japan;Kakichi Kawarada was a bureaucrat and cabinet minister in early Sh?wa period Japan. He was adopted by Kawarada Moriharu, originally from Aizu Domain and later an official in the Meiji government and expert in fisheries science who was later an aide ...;politician,congressman
2294932;Ajay Ajay Kakkar Baron Kakkar;https://prabook.com/web/*/2294932;April;28;1964;;Basic;United Kingdom;;;"""Imperial College London""//""King's College London""";;;"the awards Kakkar; David Patey Prize; Harvey Prize The Harvey Prize is an Israeli scientific distiThe Harvey Prize is an Israeli scientific distinction awarded annually for breakthroughs in science and technology, as well as contribution to Peace in the Middle East, by Technion – Israel Institute of Technology in Haifa.";;;1988;;;;April 28, 1964;;United Kingdom;Ajay Kumar Kakkar, Baron Kakkar, PC is Professor of Surgery at University College London. He has research interests in the prevention and treatment of venous thromboembolic disease and cancer-associated thrombosis and, in particular, the role of ...;politician,congressman
2296661;Karel Miert;https://prabook.com/web/*/2296661;January;17;1942;;Oud-Turnhout, Antwerp Province, Belgium;Belgium;;;"""Ghent University""";;;"European hancraft prize; Vlerick Awardthe Vlerick Award";June;22;2009;;Beersel, Flemish Brabant Province, Belgium;Socialist Party;January 17, 1942;67;Belgium;Karel Van Miert was a Flemish politician of the Different Socialist Party and official of the European Commission. In 1976 he became adjunct-national secretary of the – at that time – unitary Belgian socialist party. Two years later he became ...;politician,commissioner,university professor
2297447;Geoff Luxenberg;https://prabook.com/web/*/2297447;October;20;1983;;Connecticut, United States;United States of America;;;"""North Carolina State University""";;;;;;;;;Democratic Party;October 20, 1983;;United States;Geoff Luxenberg is an elected official in the Connecticut General Assembly. He has been in office since 2011 representing the 12th Assembly District of Manchester, Connecticut. Geoff is a lifelong Democrat. They reside on Chatham Drive within the ...;politician
2297654;Geoffrey Cecil Twisleton-Wykeham-Fiennes;https://prabook.com/web/*/2297654;August;3;1858;;;British;;;;;;;February;2;1937;;;Liberal Party;August 3, 1858;78;British;Geoffrey Cecil Twisleton-Wykeham-Fiennes, 18th Baron Saye and Sele, was a British soldier and Liberal politician. He served as Comptroller of the Household between 1912 and 1915. Saye and Sele fought in the Anglo-Zulu War of 1879 as a Captain in the ...;politician,commandant,soldier
2298306;Georg Dertinger;https://prabook.com/web/*/2298306;December;25;1902;;Berlin, Germany;East Germany;;Protestant;;;;;January;21;1968;;Leipzig, Germany;Christian Democratic Party;December 25, 1902;65;East Germany;Georg Dertinger was a German politician from the German Democratic Republic. After his study he became a journalist and later editor for the Magdeburger Volkszeitung and the nationalistic newspaper Stahlhelm. He broke with the Stahlhelm because of ...;politician,journalist
2298549;Georg Ledebour;https://prabook.com/web/*/2298549;;;1850;;Hanover, Hanover region, Germany;Germany;;;;;;;;;1947;;Bern, Canton of Bern, Switzerland;Social Democratic Party;1850;96;Germany;Georg Ledebour was a German socialist journalist and politician. He served as a stretcher bearer in the Franco-Prussian war of 1870. He worked as a journalist on several newspapers after 1875. He joined the Social-Democratic Party of Germany (Social ...;politician,journalist
2299027;George Clare;https://prabook.com/web/*/2299027;June;6;1854;;Preston, United Kingdom;Canada;;;;;;;January;9;1915;;Preston;Conservative Party;June 6, 1854;60;Canada;George Adam Clare, PC was a businessman, manufacturer and politician based in Preston, Ontario, Canada . The business was incorporated in 1901 as Clare Bros. Co. Ltd., with George Clare as its president. Clare also headed a number of other companies ...;politician,congressman
2299554;George Augustus Waggaman;https://prabook.com/web/*/2299554;;;1782;;Caroline County, Maryland, United States of America;American;;;;;;;March;31;1843;;New Orleans, Louisiana, United States of America;National Republican Party;1782;61;American;George Augustus Waggaman was a United States Senator from Louisiana. He served in the War of 1812 under General Andrew Jackson at New Orleans and settled in Baton Rouge, Louisiana, commencing the practice of law in 1813. He was attorney general of ...;politician,farmer,lawyer,senator
2299604;George Bailey;https://prabook.com/web/*/2299604;November;8;1817;;;United States of America;;;"""Harvard University""";;;;September;14;1891;;Salem, Essex County, United States of America;Republican Party;November 8, 1817;73;United States;George Bailey Loring was a Member of the United States House of Representatives from Massachusetts. He practiced medicine for a short time in North Andover. Served as surgeon of the marine hospital at Chelsea, Massachusetts (1843–1850) and as surgeon ...;politician,diplomat,senator
2300038;George Porter;https://prabook.com/web/*/2300038;February;9;1791;;Norristown, Montgomery County, United States of America;United States of America;;;;;;;July;6;1834;;Detroit, Wayne County, United States of America;Democratic Party;February 9, 1791;43;United States;George Bryan Porter, was an American statesman in Pennsylvania and Territorial Governor of Michigan from August 6, 1831, until his death on July 6, 1834. Porter was a major in the United States Army during the War of 1812. He served as Prothonotary ...;politician,governor
2300126;George Byng;https://prabook.com/web/*/2300126;March;17;1764;;;United Kingdom;;;;;;;January;10;1847;;;;March 17, 1764;82;United Kingdom;George Byng Doctor of Laws Justice of the Peace, of Wrotham Park, Hertfordshire, was a British Whig politician. He was educated at G?ttingen University from 1780 and a scholar of Georg Christoph Lichtenberg there. Byng was returned to Parliament for ...;politician
2300438;George Cleaveland Higgins;https://prabook.com/web/*/2300438;November;19;1845;;Orleans, Massachusetts;American;;;;;;;August;15;1933;;;Republican Party;November 19, 1845;87;American;George Cleaveland Higgins was a Massachusetts politician who served as a Lynn, Massachusetts, city councilor, a member of the Massachusetts House of Representatives and as the 22nd Mayor of Lynn, Massachusetts. Higgins was born in Orleans, ...;politician,congressman
2300714;George Dankel;https://prabook.com/web/*/2300714;March;6;1864;;Germany;Australia;;;;;;;March;31;1926;;;Australian Labor Party;March 6, 1864;62;Australia;George Dankel was one of the first members of the Australian House of Representatives who was not of Anglo-Celtic origin. He was a member for the Division of Boothby in South Australia from 1913 until 1917. Prior to this he was a state Member of ...;politician
2300750;George Grant;https://prabook.com/web/*/2300750;June;25;1870;;Waterdown, Ontario;Canada;;;;;;;;;;;;Liberal Party;June 25, 1870;44;Canada;George Davidson Grant was a Canadian politician. A lawyer, was first elected to the Canadian House of Commons for the electoral district of Ontario North in a 1903 by-election held after the death of the sitting MP, Angus McLeod. A Liberal, He was ...;politician,congressman
2301207;George King;https://prabook.com/web/*/2301207;October;8;1839;;Saint John, New Brunswick and attended Wesleyan University in Middl;Canada;;;"""Wesleyan University""";;;;;;;;Saint John, New Brunswick;Confederation Party;October 8, 1839;61;Canada;George Edwin King was a Canadian lawyer, politician, second and fourth Premier of New Brunswick, and puisne justice of the Supreme Court of Canada. In 1862. He then served under articles to a senior lawyer in Saint John, Robert Leonard Hazen, was ...;politician,judge
2301604;Francis Hagerup;https://prabook.com/web/*/2301604;January;22;1853;;Horten, Telemark, Norway;Norway;;;"""University of Oslo""";;;;February;8;1921;;Christiania;Conservative Party;January 22, 1853;68;Norway;George Francis Hagerup was a Norwegian law professor, diplomat and politician for the Conservative Party. He was Prime Minister of Norway from 14 October 1895 to 17 February 1898 and from 22 October 1903 to 11 March 1905. As a legal scholar, he is ...;politician,diplomat,prime minister,professor
2301772;George McWhorter;https://prabook.com/web/*/2301772;February;27;1833;;Coosada, Alabama, United States;United States of America;;;;;;;March;21;1891;;Santa Rosa;Democratic Party;February 27, 1833;58;United States;George G. McWhorter was a Florida lawyer and Democratic politician who served on the Florida Supreme Court from 1885 to 1887. The McWhorters briefly moved to Birmingham, where he practiced law, and returned to Milton in 1859 and was admitted to the ...;politician,lawyer
2302224;George Williams;https://prabook.com/web/*/2302224;November;17;1894;;Binscarth, Manitoba, Williams;Canada;;;;;;;September;12;1945;;Vancouver;Saskatchewan New Democratic Party;November 17, 1894;50;Canada;George Hara Williams was a farmer activist and politician. He began farming himself and joined and became an organizer for the Farmers Union of Canada in 1923. He served as president of its successor, the United Farmers of Canada, from 1929 to 1931, ...;politician
2302592;George Herbert;https://prabook.com/web/*/2302592;June;7;1877;;London, Greater London, United Kingdom;United Kingdom;;;;;;;December;13;1955;;;Conservative Party;June 7, 1877;78;United Kingdom;George Herbert Hyde Villiers, 6th Earl of Clarendon, KG PC , styled Lord Hyde from 1877 to 1914, was a British Conservative politician from the Villiers family. He served as Governor-General of the Union of South Africa from 1931 to 1937. Clarendon ...;politician,governor,governor
2302670;George Allsopp;https://prabook.com/web/*/2302670;March;28;1846;;Burton upon Trent, East Staffordshire, United Kingdom;United Kingdom;;;Eton College//Trinity College;;;;September;9;1907;;;Conservative Party;March 28, 1846;61;United Kingdom;George Higginson Allsopp was an English brewer and Conservative politician who sat in the House of Commons from 1885 to 1906. The Honorary Between 1868 and 1871 he appeared in cricket matches for Worcestershire, although they did not qualify as ...;politician,lieutenant
2303085;George McManus;https://prabook.com/web/*/2303085;;;1806;;Kilbride, County Cavan, Ireland;Canada//Ireland;;;;;;;October;18;1887;;Mono, Dufferin County, Canada;Progressive Conservative Party;1806;81;Canada;George John McManus was an Ontario political figure. He represented Cardwell in the Legislative Assembly of Ontario as a Conservative-Liberal member from 1871 to 1874. McManus was born in Kilbride, County Cavan, Ireland, grew up there and settled in ...;politician,ireland
2303433;George Leavens Lilley;https://prabook.com/web/*/2303433;August;3;1859;;Oxford, Worcester County, United States of America;American;;Congregationalist;;;;;April;21;1909;;Waterbury, New York metropolitan area, United States of America;Republican Party;August 3, 1859;49;American;George Leavens Lilley was a United States Representative and the 63rd Governor of Connecticut. He moved to Waterbury, Connecticut in 1881 and engaged in mercantile pursuits and the real estate business. The couple had three sons, Frederick, John, and ...;politician,governor,senator
2303532;George Stringam;https://prabook.com/web/*/2303532;March;21;1876;;Holden, Utah, United States;Canada;;;;;;;July;4;1959;;;United Farmers of Alberta;March 21, 1876;83;Canada;George Lewis Stringam was a provincial politician and cattle rancher from Alberta, Canada. Stringam married Sarah Lovina Williams on June 7, 1905. He fathered eleven children with her, two of which died at an early age. Stringam ran for a seat to the ...;politician
2304372;George Wilcox;https://prabook.com/web/*/2304372;August;15;1839;;Hilo, United States of America;American;;;;;;;January;21;1933;;Honolulu, Honolulu County, United States of America;;August 15, 1839;93;American;George Norton Wilcox was a businessman and politician in the Kingdom of Hawaii and Territory of Hawaii. He had one older brother and two younger ones born while at Hilo. In 1846 the family moved to teach at a similar school at the Wai?oli Mission ...;politician,businessman
2304600;George Percy;https://prabook.com/web/*/2304600;June;22;1778;;London, Greater London, United Kingdom;United Kingdom;;;"""St John's College""";;;;August;22;1867;;Coventry, West Midlands, United Kingdom;Tories;June 22, 1778;89;United Kingdom;George Percy, 5th Duke of Northumberland Personal Computer, styled Lord Lovaine between 1790 and 1830 and known as The Earl of Beverley between 1830 and 1865, was a British Tory politician. He served as Captain of the Yeomen of the Guard under Sir ...;politician
2304758;George Pullicino;https://prabook.com/web/*/2304758;March;12;1964;;;Malta;;;"""University of Malta""";;;;;;;;;Nationalist Party;March 12, 1964;;Malta;George Pullicino is a Maltese politician, who served as Minister for Resources and Rural Affairs in a number of Nationalist Governments . As a Nationalist Party candidate, Pullicino unsuccessfully contested the 1992 general election before being ...;politician,congressman
2304815;George Raines;https://prabook.com/web/*/2304815;November;10;1846;;;United States of America;;;"""University of Rochester""";;;;November;27;1908;;;Republican Party;November 10, 1846;62;United States;George Raines was an American lawyer and politician from New New York Then he studied law, was admitted to the bar in December 1867, and practiced in Rochester. He entered politics as a Republican, joined the Liberal Republicans in 1872, and then ...;politician,lawyer
2305158;George Boucher;https://prabook.com/web/*/2305158;December;13;1899;;Dunrobin, Ontario, Boucher;Canada;;;;;;;;8;1970;;;Conservative Party;December 13, 1899;70;Canada;George Russell Boucher was a Canadian politician and barrister. He succeeded Alonzo Hyndman who died shortly after his re-election in the March 1940 federal election. Boucher was re-elected in 1945 as a Progressive Conservative. He resigned his seat ...;politician,congressman
2305256;Cecil Savile;https://prabook.com/web/*/2305256;November;7;1846;;;United Kingdom;;;;;;;March;23;1907;;;Liberal Party;November 7, 1846;60;United Kingdom;Cecil George Savile Foljambe, 1st Earl of Liverpool Personal Computer, known as The Lord Hawkesbury between 1893 and 1905, was a British Liberal politician. A great-nephew of Prime Minister Robert Jenkinson, 2nd Earl of Liverpool, he was Lord Steward ...;politician
2305510;George Spotton;https://prabook.com/web/*/2305510;March;23;1877;;;Canada;;;;;;;April;20;1936;;;Conservative;March 23, 1877;59;Canada;George Spotton was a Canadian Member of Parliament between 1927 and 1935. Spotton received a bachelor's degree in history from Queen's University, graduating in 1895. During World War I he briefly served in the Canadian Army (now the Canadian Forces) ...;politician,congressman
2305667;George Taylor;https://prabook.com/web/*/2305667;;;1822;;Chicopee, Hampden County, United States of America;American;;;;;;;January;3;1910;;Chicopee, Hampden County, United States of America;Republican Party;March 2, 1822;87;American;George Sylvester Taylor became the first mayor of Chicopee, Massachusetts on January 5, 1891. Starting in 1864, Taylor ran the Belcher & Taylor Agricultural Tool Company in Springfield. Prior to becoming Mayor, he was president of Chicopee Falls ...;politician,congressman,senator
2305935;George Orton;https://prabook.com/web/*/2305935;January;19;1837;;Guelph, Upper Canada;Canada;;;"""University of St Andrews""";;;;November;14;1901;;Winnipeg;Liberal-conservative;January 19, 1837;64;Canada;George Turner Orton was a physician and political figure in Ontario, Canada. He represented Wellington Centre in the Canadian House of Commons from 1874 to 1887 as a Liberal-Conservative. He graduated from the University of Street Andrews School of ...;politician
2305974;George Valdemar Borchsenius;https://prabook.com/web/*/2305974;July;15;1865;;Madison, Wisconsin, United States;United States of America;;;;;;;September;10;1945;;Los Angeles;;July 15, 1865;80;United States;"George Valdemar Borchsenius was a United States attorney. He was the first clerk of the court of the Nome judicial division of Alaska, and although he was retired by Judge Arthur H. Noyes after one year of service, he was reappointed by Judge Noyes"" ...";politician,general
2306185;George Waldron;https://prabook.com/web/*/2306185;September;1;1853;;Philadelphia, Philadelphia County, United States of America;American;;;;;;;August;14;1903;;San Francisco, California, United States of America;;September 1, 1853;49;American;George Waldron Cheyney was an American businessman and politician. While living in Tombstone, Arizona Territory he served four years as the territory's Superintendent of Public Instruction and was twice elected to the territorial legislature. In his ...;politician,businessman
2306552;George Guthrie;https://prabook.com/web/*/2306552;;;1848;;Pittsburgh;American;;;"""University of Pittsburgh""";;;;;;1917;;;;1848;68;American;George Wilkins Guthrie , served as Mayor of Pittsburgh from 1906 to 1909 and then was United States Ambassador to Japan. He became an attorney and started an involvement in reform issues during an era of increasing government corruption and largess. , ...;politician,diplomat,mayor of pittsburgh
2306723;George Smith;https://prabook.com/web/*/2306723;;;1762;;Essex County, Virginia, United States of America;American;;;;;;;December;26;1811;;Richmond, Virginia, United States of America;Democratic Republican;1762;50;American;George William Smith was a Virginia lawyer and politician, who served several terms in the Virginia House of Delegates and was twice the acting governor before then being elected as the 17th Governor of Virginia. His term as elected governor was ...;politician,governor
2307254;Georges Lapalme;https://prabook.com/web/*/2307254;January;14;1907;;Montreal, Urban agglomeration of Montreal, Canada;Canada;;;"""Universit? de Montr?al""";;;;February;5;1985;;Montreal, Urban agglomeration of Montreal, Canada;Quebec Liberal Party;January 14, 1907;78;Canada;Georges-?mile Lapalme was a politician in Quebec, Canada, member of the Legislative Assembly of Quebec, and leader of the Quebec Liberal Party. Lapalme was married to Maria Langlois for nearly 50 years, with whom he had seven children. Lapalme was ...;politician,lawyer
2308029;Geraint Howells;https://prabook.com/web/*/2308029;April;15;1925;;Ponterwyd;United Kingdom;;;;;;;April;17;2004;;;Liberal Democratic Party;April 15, 1925;79;United Kingdom;"Geraint Wyn Howells, Baron Geraint was a leading Welsh Liberal Democrat politician. Howells"" main living was as a hill farmer in Glennydd, Ponterwyd in Cardiganshire. He held some 750 acres there with around 3,000 sheep. The majority were prize ...";politician
2308318;Dirk West;https://prabook.com/web/*/2308318;;;1930;;Littlefield, Texas;American;;;"""Texas Tech University""";;;;July;26;1996;;;;1930;66;American;"Gerald Glynn ""Dirk"" West was an editorial cartoonist, journalist, and mayor from Lubbock, Texas, most famous for his caricatures of collegiate mascots. Beginning in the 1960s, he cartooned for the Lubbock Avalanche-Journal. West's most famous works ...";politician,journalist
2308579;Gerald Ford;https://prabook.com/web/*/2308579;December;9;1890;;Grand Rapids, Michigan, United States of America;American;;;;;;Eagle Scout;January;;1962;;Grand Rapids, Michigan, United States of America;Republican Party;December 9, 1890;71;American;Gerald Rudolff Ford was a Grand Rapids businessman and Republican politician who was the stepfather of U.S. President Gerald Ford and for whom Ford legally changed his name. The senior Ford's father George Ford died in a train accident in 1903 ...;politician,businessman,director
2308804;Gerry MacLochlainn;https://prabook.com/web/*/2308804;;;1954;;;United Kingdom;;Christian;;;;;;;;;;Labour Party;1954;;United Kingdom;"Gerard ""Gerry"" MacLochlainn is a Sinn F?in politician from Derry, Northern Ireland, where he was a councillor. He chaired several of the council's major committees including regional and cross border committees. His writings were widely circulated in ...";politician,councillor
2308822;Gerard Adriaan;https://prabook.com/web/*/2308822;October;7;1969;;Haarlem, North Holland, Netherlands;Netherlands;;;Leiden University;;;;;;;;;People's Party for Freedom and Democracy;October 7, 1969;;Netherlands;"Gerard Adriaan ""Ard"" van der Steur is a Dutch politician and lawyer On 20 March 2015 he became Minister of Security and Justice. He focuses on matters of judiciary, constitutional and administrative law. In both cases he was respectively is also ...";politician,lawyer
2308986;Gerard James;https://prabook.com/web/*/2308986;March;18;1953;;Saint Croix, United States Virgin Islands, United States of America;American;;Catholic;"""Howard University""";;;;;;;;;Democratic Party;March 18, 1953;;American;Gerard Luz James II is a United States Virgin Islander politician, funeral director, and businessman. Served as the Lieutenant Governor of the United States Virgin Islands from 1999 until 2003 and was the president of Fifth Constitutional Convention ...;politician,governor,senator
2309191;Gerardo Zamora;https://prabook.com/web/*/2309191;January;6;1964;;General Alvear Department, Mendoza, Mendoza Province, Argentina;Argentina;;;;;;;;;;;;Radical Civic Union;January 6, 1964;;Argentina;"Gerardo Zamora is an Argentine politician from Santiago del Estero Province. Born in rural Bowen, Mendoza Province, Zamora""s family moved to Santiago del Estero in 1968. He later became a leader in student politics, serving as President of the UCR ...";politician,lawyer
2309433;Gergely Karacsony;https://prabook.com/web/*/2309433;June;11;1975;;;Hungary;;;;;;;;;;;;Politics Can Be Different;June 11, 1975;;Hungary;Gergely Kar?csony is a Hungarian political scientist, politician, member of the National Assembly from 2010 to 2014. He was elected Mayor of Zugl? in 2014. His research areas are electoral systems and electoral behavior. Kar?csony worked for the ...;politician
2309562;Gerhard Hager;https://prabook.com/web/*/2309562;September;26;1942;;Vienna, Austria;Austria;;;;;;;;;;;;Austrian Freedom Party;September 26, 1942;;Austria;"Gerhard Hager is a former non-attached Member of the European Parliament representing Austria. His two European Parliamentary terms began on 11 November 1996 and 20 July 1999, culminating in his European Parliament career""s ending on 19 July 2004.";politician,judge
2309865;Germain Sommeiller;https://prabook.com/web/*/2309865;February;15;1815;;Saint-Jeoire, Canton of Saint-Jeoire, France;;;;;;;;July;11;1871;;Saint-Jeoire, Canton of Saint-Jeoire, France;;February 15, 1815;56;;Germain Sommeiller was a civil engineer from Savoy. He directed the construction of the Fr?jus Rail Tunnel between France and Italy, also known as the Mont Cenis Tunnel. This was the first of a series of major tunnels built in the late 19th century ...;politician,engineer
2310117;Gerrit John Diekema;https://prabook.com/web/*/2310117;March;27;1859;;Holland, Michigan, United States of America;American;;;"""University of Michigan""//""University of Michigan Law School""";;;;December;20;1930;;The Hague, South Holland, Netherlands;Republican Party;March 27, 1859;71;American;Gerrit John Diekema was a politician from the United States. state of Michigan. He became mayor of Holland in 1895 and chairman of the Michigan Republican Party ten consecutive years from 1900 to 1910. He was elected April 27, 1907, as a Republican ...;politician,diplomat,lawyer,senator
2310408;Gert-January Segers;https://prabook.com/web/*/2310408;July;9;1969;;Lisse;Netherlands;;;"""Leiden University""//""Johns Hopkins University""";;;;;;;;;ChristianUnion;July 9, 1969;;Netherlands;"Gert January Maarten Segers is a Dutch political scientist and politician. He has also been parliamentary leader since 10 November 2015, succeeding Arie Slob. Segers studied political science at Leiden University and obtained a master""s degree in ...";politician,columnist,journalist,writer
2310478;Gertrud Baumer;https://prabook.com/web/*/2310478;September;12;1873;;Hohenlimburg, Hagen, Germany;Germany;;;;;;;March;25;1954;;;German Democratic Party;September 12, 1873;80;Germany;"Gertrud B?umer was a German politician who actively participated in the German civil rights feminist movement. She was also a writer, and contributed to Friedrich Naumann""s paper Die Hilfe. From 1898, B?umer lived and worked together with the German ...";politician
2310651;Gervase Tilbury;https://prabook.com/web/*/2310651;;;1155;;West Tilbury, in Essex, England;United Kingdom;;;;;;;;;1234;;;;1155;79;United Kingdom;Gervase of Tilbury or Gervasius Tilberiensis was a 13th-century canon lawyer, statesman and writer, born in West Tilbury, in Essex, England. His best known work is the Otia Imperialia. Gervase was of aristocratic stock, claiming kinship with Patrick, ...;politician,historian,jurist,writer
2310695;Gessica Rostellato;https://prabook.com/web/*/2310695;October;23;1982;;Conselve, Province of Padua, Italy;Italy;;;;;;;;;;;;Five Star Movement;October 23, 1982;;Italy;Gessica Rostellato is an Italian politician. In 2009 Rostellato joined the 5 Star Movement and in 2013 she was elected deputy. On January 26, 2015 she announced along with other eight deputies and one senator her exit from the party, and entered the ...;politician
2310740;Gevorg Petrosyan;https://prabook.com/web/*/2310740;September;4;1972;;Yerevan;Armenian;;;;;;Chief of Staff;;;;;;Prosperous Armenia;September 4, 1972;;Armenian;Gevorg Volodya Petrosyan. In 1995, Petrosyan took part in the military training assemblies and received the military rank of an officer. In 1995, he entered YSU Postgraduate course. He has been teaching at the Faculty of Law, Yerevan State University ...;politician,dean,head,lawyer,author
2310760;Ghaem Magham Farahani;https://prabook.com/web/*/2310760;;;1779;;Arak, Central District, Iran;Iran;;;;;;;June;28;1835;;Tehran, Central District, Iran;;1779;56;Iran;Mirza Abolghasem Ghaem Magham Farahani or Mirza Abu'l-Qasim Farahani Q?'im Maqam was an Iranian Prime Minister in the early 19th century. He was born in Arak, Iran. His father, Mirza Isa Ghaem Magham Farahani, had served the Qajar family for more ...;politician,calligrapher,poet
2310826;Ghazali Shafie;https://prabook.com/web/*/2310826;March;22;1922;;Pahang, Malaysia;Malaysia;;;"""London School of Economics""//""University of Wales""";;;;January;24;2010;;Subang Jaya, Malaysia;United Malays National Organisation;March 22, 1922;87;Malaysia;Tun Muhammad Ghazali Shafie was a Malaysian politician. He served as Foreign Minister and Home Minister during his career. He was of Minangkabau descent from Rao, West Sumatra. He was part of the clandestine resistance to the Japanese occupation of ...;politician,diplomat,entrepreneur
2310995;Gherasim Rudi;https://prabook.com/web/*/2310995;;;1907;;Podolia Governorate, Russian Empire;;;;;;Candidate of Agricultural Sciences;"Order of Lenin; Order of the Red Star; Order of the October Revolution; Order of Bogdan Khmelnitsky, 1st class; Order of the Red Banner of Labour; Order of Friendship of Peoples";June;26;1982;;Chisinau, Moldova;Communist Party;March 4, 1907;75;;Gherasim Rudi was a Moldavian SSR politician. For other uses of this and similar names, see Rudi (disambiguation). He died on 26 June 1982, in Chi?in?u. Gherasim Rudi was the prime minister of Moldavian SSR (5 January 1946 – 23 January 1958). Until ...;politician,diplomat
2311304;Giovanni Orsini;https://prabook.com/web/*/2311304;February;22;1503;;Rome, Province of Rome, Italy;Italy;;Catholic Church;;;;;February;23;1502;;Papal States;;February 22, 1503;;Italy;Giambattista Orsini was an Italian Roman Catholic cardinal. For the Grand Master of the Knights Hospitaller, see Giovanni Battista Orsini. Early in his career, he became a cleric of the Apostolic Camera. He was next an Auditor of the Roman Rota. He ...;politician,catholic priest,camerlengo of the sacred college of cardinals
2311343;Gian Trivulzio;https://prabook.com/web/*/2311343;;;1440;;Milan, Province of Milan, Italy;French;;;;;;Marshal of France;December;5;1518;;Arpajon, canton of Arpajon, France;;1440;79;French;Gian Giacomo Trivulzio was an Italian aristocrat and condottiero who held several military commands during the Italian Wars. In 1465, he followed the latter's army in France to help King Louis XI of France. He also took part in the Milanese campaigns ...;politician,italy
2311344;Gian Albani;https://prabook.com/web/*/2311344;January;3;1509;;Bergamo, Province of Bergamo, Italy;Italy;;Roman Catholic;;;;;April;25;1591;;;;January 3, 1509;82;Italy;Gian Girolamo Albani was an Italian Roman Catholic cardinal. After university, he returned to Bergamo. There, Andrea Gritti, Doge of Venice gave him the honor cavaliere aurato. He went on to serve as collaterale generale in the army of the Republic ...;politician,cardinal,jurist,priest
2311729;Gideon Ben-Yisrael;https://prabook.com/web/*/2311729;March;6;1923;;Haifa, Haifa Subdistrict, Israel;Israel;;;"""Hebrew University of Jerusalem""//""London School of Economics""";;;;December;18;2014;;;Rafi;March 6, 1923;91;Israel;Gideon Ben-Yisrael was an Israeli politician who served as a member of the Knesset for Mapai and Rafi in the 1950s and 1960s. Born in Haifa during the Mandate era, Ben-Yisrael joined the Haganah, and between 1938 and 1940 was a recruiting officer in ...;politician,educationist,knesset member
